"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value"
"EST","TRADEGOOD","IMP","MLN_USD","A","2014",15946.5
"COL","TRADEGOOD","EXP","MLN_USD","A","2014",56898.75
"COL","TRADEGOOD","IMP","MLN_USD","A","2014",61539.34
"LVA","TRADEGOOD","EXP","MLN_USD","A","2014",13589.05
"LVA","TRADEGOOD","IMP","MLN_USD","A","2014",16745.5
"OECD","TRADEGOOD","EXP","MLN_USD","A","2014",10597790
"OECD","TRADEGOOD","IMP","MLN_USD","A","2014",11079690
"ARG","TRADEGOOD","EXP","MLN_USD","A","2014",68440.44
"ARG","TRADEGOOD","IMP","MLN_USD","A","2014",62898.96
"CRI","TRADEGOOD","EXP","MLN_USD","A","2014",9455.567
"CRI","TRADEGOOD","IMP","MLN_USD","A","2014",14784.33
"LTU","TRADEGOOD","EXP","MLN_USD","A","2014",31535.92
"LTU","TRADEGOOD","IMP","MLN_USD","A","2014",32779.84
"SAU","TRADEGOOD","EXP","MLN_USD","A","2014",342456.9
"SAU","TRADEGOOD","IMP","MLN_USD","A","2014","158462"
